epochs,losses
0.0,1.01825749874115
0.0625,0.9791647791862488
0.125,0.9499384164810181
0.1875,0.9285310506820679
0.25,0.8972283601760864
0.3125,0.8686095476150513
0.375,0.8496249914169312
0.4375,0.841096043586731
0.5,0.809167742729187
0.5625,0.7818044424057007
0.625,0.7222332954406738
0.6875,0.7106673121452332
0.75,0.7148580551147461
0.8125,0.6921921968460083
0.875,0.6952530145645142
0.9375,0.6029401421546936
1.0,0.6640721559524536
1.0625,0.5929332971572876
1.125,0.5842949151992798
1.1875,0.5979154109954834
1.25,0.5591442584991455
1.3125,0.5462048649787903
1.375,0.5205512642860413
1.4375,0.5393202304840088
1.5,0.47550028562545776
1.5625,0.497132271528244
1.625,0.5059794187545776
1.6875,0.46726155281066895
1.75,0.49129244685173035
1.8125,0.4663667678833008
1.875,0.385868638753891
1.9375,0.438106507062912
2.0,0.44377297163009644
2.0625,0.4100695252418518
2.125,0.4215860366821289
2.1875,0.43350863456726074
2.25,0.3349440097808838
2.3125,0.35859403014183044
2.375,0.35914063453674316
2.4375,0.39615964889526367
2.5,0.38649293780326843
2.5625,0.31217822432518005
2.625,0.29550909996032715
2.6875,0.315346360206604
2.75,0.3656954765319824
2.8125,0.3223798871040344
2.875,0.34703120589256287
2.9375,0.33855822682380676
3.0,0.3163473606109619
3.0625,0.27819401025772095
3.125,0.27543118596076965
3.1875,0.36218178272247314
3.25,0.33711737394332886
3.3125,0.34643682837486267
3.375,0.3101285398006439
3.4375,0.3480239808559418
3.5,0.2723312973976135
3.5625,0.2559936046600342
3.625,0.3240149915218353
3.6875,0.2956620156764984
3.75,0.240261048078537
3.8125,0.2823498845100403
3.875,0.22777613997459412
3.9375,0.2734340727329254
4.0,0.30462977290153503
4.0625,0.23692892491817474
4.125,0.2764727771282196
4.1875,0.24939891695976257
4.25,0.2351963222026825
4.3125,0.2824713885784149
4.375,0.2517184317111969
4.4375,0.259350061416626
4.5,0.277430921792984
4.5625,0.2914441227912903
4.625,0.30444467067718506
4.6875,0.2519126534461975
4.75,0.28289735317230225
4.8125,0.2400541752576828
4.875,0.2605883479118347
4.9375,0.28242170810699463
5.0,0.27672266960144043
5.0625,0.23803958296775818
5.125,0.25885576009750366
5.1875,0.2508445382118225
5.25,0.2397766411304474
5.3125,0.2528839707374573
5.375,0.24678568542003632
5.4375,0.2505403459072113
5.5,0.2424875795841217
5.5625,0.2759130597114563
5.625,0.2446051836013794
5.6875,0.23798362910747528
5.75,0.27432793378829956
5.8125,0.2207910418510437
5.875,0.23170781135559082
5.9375,0.18123961985111237
6.0,0.2373475283384323
6.0625,0.2381722331047058
6.125,0.2740255296230316
6.1875,0.2561298906803131
6.25,0.24322587251663208
6.3125,0.24179451167583466
6.375,0.24108581244945526
6.4375,0.29944679141044617
6.5,0.2320016622543335
6.5625,0.23018363118171692
6.625,0.27569472789764404
6.6875,0.23011216521263123
6.75,0.2431851625442505
6.8125,0.25166961550712585
6.875,0.2243284434080124
6.9375,0.19849133491516113
7.0,0.22367636859416962
7.0625,0.1942598521709442
7.125,0.23979201912879944
7.1875,0.23393075168132782
7.25,0.23550286889076233
7.3125,0.2205803096294403
7.375,0.18714652955532074
7.4375,0.2134266197681427
7.5,0.25474750995635986
7.5625,0.2390945851802826
7.625,0.3044934868812561
7.6875,0.2374386042356491
7.75,0.28335607051849365
7.8125,0.2658236622810364
7.875,0.24291285872459412
7.9375,0.255532443523407
8.0,0.21895091235637665
8.0625,0.19523099064826965
8.125,0.28086233139038086
8.1875,0.21468374133110046
8.25,0.2716466188430786
8.3125,0.2212512195110321
8.375,0.20661816000938416
8.4375,0.22837160527706146
8.5,0.274710476398468
8.5625,0.22623169422149658
8.625,0.17517539858818054
8.6875,0.2405673861503601
8.75,0.2524910271167755
8.8125,0.2764699161052704
8.875,0.23517493903636932
8.9375,0.22973090410232544
9.0,0.17780864238739014
9.0625,0.2649363875389099
9.125,0.24770784378051758
9.1875,0.27555644512176514
9.25,0.3143557906150818
9.3125,0.2462320625782013
9.375,0.2888920307159424
9.4375,0.20860444009304047
9.5,0.21265292167663574
9.5625,0.2244124859571457
9.625,0.20490054786205292
9.6875,0.22938404977321625
9.75,0.1947232484817505
9.8125,0.24242258071899414
9.875,0.26005637645721436
9.9375,0.23015795648097992
