epochs,losses
0.0,1.9812721014022827
0.0625,1.4882758855819702
0.125,1.1038427352905273
0.1875,0.8980412483215332
0.25,0.7980489730834961
0.3125,0.7056026458740234
0.375,0.6163621544837952
0.4375,0.5508148670196533
0.5,0.5177305340766907
0.5625,0.5146023631095886
0.625,0.4763750731945038
0.6875,0.4517093300819397
0.75,0.41115617752075195
0.8125,0.37600085139274597
0.875,0.3436855971813202
0.9375,0.3135814070701599
1.0,0.3524537980556488
1.0625,0.31698834896087646
1.125,0.28114062547683716
1.1875,0.3274547755718231
1.25,0.2711235284805298
1.3125,0.30288803577423096
1.375,0.2647034525871277
1.4375,0.30084675550460815
1.5,0.2683555483818054
1.5625,0.2690565586090088
1.625,0.29191911220550537
1.6875,0.2730119228363037
1.75,0.25507527589797974
1.8125,0.28227001428604126
1.875,0.2351193130016327
1.9375,0.25891780853271484
2.0,0.26360422372817993
2.0625,0.2382512092590332
2.125,0.2895028591156006
2.1875,0.2969311475753784
2.25,0.21455948054790497
2.3125,0.25374746322631836
2.375,0.23481003940105438
2.4375,0.21437548100948334
2.5,0.23810982704162598
2.5625,0.20086491107940674
2.625,0.2058655321598053
2.6875,0.19831757247447968
2.75,0.24879679083824158
2.8125,0.18821856379508972
2.875,0.232938751578331
2.9375,0.23540246486663818
3.0,0.201618954539299
3.0625,0.20762650668621063
3.125,0.2040919065475464
3.1875,0.21149353682994843
3.25,0.1707923859357834
3.3125,0.1963016241788864
3.375,0.27793771028518677
3.4375,0.2100135087966919
3.5,0.20573590695858002
3.5625,0.27846333384513855
3.625,0.21279887855052948
3.6875,0.24188175797462463
3.75,0.25965070724487305
3.8125,0.19517749547958374
3.875,0.17762291431427002
3.9375,0.24050161242485046
4.0,0.1642979383468628
4.0625,0.2351355254650116
4.125,0.16405825316905975
4.1875,0.21214191615581512
4.25,0.20696792006492615
4.3125,0.17921125888824463
4.375,0.1896980106830597
4.4375,0.161329448223114
4.5,0.18340682983398438
4.5625,0.17086146771907806
4.625,0.14768177270889282
4.6875,0.2169189304113388
4.75,0.24590706825256348
4.8125,0.18206638097763062
4.875,0.19268524646759033
4.9375,0.1692052036523819
5.0,0.18147152662277222
5.0625,0.17165248095989227
5.125,0.2236640453338623
5.1875,0.23375672101974487
5.25,0.18253235518932343
5.3125,0.17750239372253418
5.375,0.15051370859146118
5.4375,0.22480766475200653
5.5,0.17864584922790527
5.5625,0.18720388412475586
5.625,0.17288605868816376
5.6875,0.1864945888519287
5.75,0.16860559582710266
5.8125,0.1749233901500702
5.875,0.20843368768692017
5.9375,0.240569069981575
6.0,0.16980575025081635
6.0625,0.15075533092021942
6.125,0.1969413459300995
6.1875,0.18080195784568787
6.25,0.15382170677185059
6.3125,0.2129220962524414
6.375,0.15374991297721863
6.4375,0.16084083914756775
6.5,0.1706552952528
6.5625,0.16533540189266205
6.625,0.13470785319805145
6.6875,0.18221460282802582
6.75,0.14186784625053406
6.8125,0.2036145031452179
6.875,0.14382407069206238
6.9375,0.1728016883134842
7.0,0.15622231364250183
7.0625,0.1587124764919281
7.125,0.20425963401794434
7.1875,0.14660942554473877
7.25,0.13709992170333862
7.3125,0.17241764068603516
7.375,0.1376286745071411
7.4375,0.16303521394729614
7.5,0.23717302083969116
7.5625,0.15914513170719147
7.625,0.15890872478485107
7.6875,0.14784683287143707
7.75,0.15901809930801392
7.8125,0.15651297569274902
7.875,0.1895078867673874
7.9375,0.1743328869342804
8.0,0.1920284926891327
8.0625,0.16396275162696838
8.125,0.16083331406116486
8.1875,0.18048164248466492
8.25,0.17299358546733856
8.3125,0.2116350531578064
8.375,0.19314900040626526
8.4375,0.15732012689113617
8.5,0.17217527329921722
8.5625,0.14460265636444092
8.625,0.16394653916358948
8.6875,0.12731370329856873
8.75,0.1679278016090393
8.8125,0.14097757637500763
8.875,0.15988101065158844
8.9375,0.19312572479248047
9.0,0.14142204821109772
9.0625,0.1770855188369751
9.125,0.15770377218723297
9.1875,0.18954607844352722
9.25,0.17282722890377045
9.3125,0.14150045812129974
9.375,0.20471110939979553
9.4375,0.15540891885757446
9.5,0.17648983001708984
9.5625,0.18586477637290955
9.625,0.14412015676498413
9.6875,0.1481587290763855
9.75,0.14070726931095123
9.8125,0.13010859489440918
9.875,0.23038241267204285
9.9375,0.11245111376047134
