epochs,losses
0.0,0.9913787841796875
0.0625,0.9670860171318054
0.125,0.9559864401817322
0.1875,0.9397501349449158
0.25,0.9238265752792358
0.3125,0.9167518615722656
0.375,0.8949496150016785
0.4375,0.8715147376060486
0.5,0.8572176694869995
0.5625,0.8531495928764343
0.625,0.842058539390564
0.6875,0.8291282653808594
0.75,0.7943684458732605
0.8125,0.7882459163665771
0.875,0.7817492485046387
0.9375,0.7427968382835388
1.0,0.7633696794509888
1.0625,0.7564297914505005
1.125,0.7160546183586121
1.1875,0.725355863571167
1.25,0.6880790591239929
1.3125,0.7408509254455566
1.375,0.6863415241241455
1.4375,0.6532515287399292
1.5,0.6719379425048828
1.5625,0.6358687877655029
1.625,0.6348077654838562
1.6875,0.5969545841217041
1.75,0.6225199699401855
1.8125,0.6370986700057983
1.875,0.6092365980148315
1.9375,0.5955960750579834
2.0,0.6136564016342163
2.0625,0.6034151315689087
2.125,0.5964847207069397
2.1875,0.5763862133026123
2.25,0.584868311882019
2.3125,0.525213360786438
2.375,0.5896949768066406
2.4375,0.6134185791015625
2.5,0.555670440196991
2.5625,0.5485806465148926
2.625,0.552029013633728
2.6875,0.5605131983757019
2.75,0.5387372970581055
2.8125,0.543400764465332
2.875,0.5424575805664062
2.9375,0.4944581985473633
3.0,0.5386466979980469
3.0625,0.5399927496910095
3.125,0.5531530380249023
3.1875,0.5713239908218384
3.25,0.5226620435714722
3.3125,0.5350087881088257
3.375,0.5134159326553345
3.4375,0.5569579005241394
3.5,0.5032080411911011
3.5625,0.5270081162452698
3.625,0.5194932818412781
3.6875,0.5336592197418213
3.75,0.5286616086959839
3.8125,0.5013320446014404
3.875,0.5132086277008057
3.9375,0.510413408279419
4.0,0.5127030611038208
4.0625,0.5332161784172058
4.125,0.5224965214729309
4.1875,0.49367663264274597
4.25,0.5114350318908691
4.3125,0.5308020114898682
4.375,0.48535847663879395
4.4375,0.5464186668395996
4.5,0.46681877970695496
4.5625,0.5467717051506042
4.625,0.5465743541717529
4.6875,0.48429593443870544
4.75,0.5087330341339111
4.8125,0.4762328267097473
4.875,0.5079416036605835
4.9375,0.5023371577262878
5.0,0.49450361728668213
5.0625,0.5361602902412415
5.125,0.4954923987388611
5.1875,0.48369723558425903
5.25,0.4870339334011078
5.3125,0.4728507399559021
5.375,0.4675590395927429
5.4375,0.4819340407848358
5.5,0.5243745446205139
5.5625,0.490856409072876
5.625,0.4862014055252075
5.6875,0.5307874083518982
5.75,0.49295100569725037
5.8125,0.5119965076446533
5.875,0.48152023553848267
5.9375,0.47286713123321533
6.0,0.5231542587280273
6.0625,0.484225332736969
6.125,0.5111696720123291
6.1875,0.5178834795951843
6.25,0.49796223640441895
6.3125,0.4726608991622925
6.375,0.46691226959228516
6.4375,0.5316623449325562
6.5,0.488386332988739
6.5625,0.45447826385498047
6.625,0.45599350333213806
6.6875,0.5062296390533447
6.75,0.49093103408813477
6.8125,0.5283911228179932
6.875,0.47513672709465027
6.9375,0.4669482707977295
7.0,0.48083049058914185
7.0625,0.5220401287078857
7.125,0.48543208837509155
7.1875,0.46944183111190796
7.25,0.4964349865913391
7.3125,0.5399644374847412
7.375,0.4844340682029724
7.4375,0.4597139358520508
7.5,0.45824670791625977
7.5625,0.5117641687393188
7.625,0.486691951751709
7.6875,0.47722768783569336
7.75,0.4764465093612671
7.8125,0.4665054678916931
7.875,0.48999056220054626
7.9375,0.45026811957359314
8.0,0.4703911542892456
8.0625,0.4673980176448822
8.125,0.4682578444480896
8.1875,0.4829084575176239
8.25,0.4941597580909729
8.3125,0.4807118773460388
8.375,0.48878535628318787
8.4375,0.48313117027282715
8.5,0.46844232082366943
8.5625,0.48152920603752136
8.625,0.4696943759918213
8.6875,0.4673038423061371
8.75,0.5160613059997559
8.8125,0.46388083696365356
8.875,0.515295684337616
8.9375,0.4910268187522888
9.0,0.45964598655700684
9.0625,0.48705095052719116
9.125,0.45764631032943726
9.1875,0.4842294156551361
9.25,0.44638222455978394
9.3125,0.4819592833518982
9.375,0.45290499925613403
9.4375,0.4734203517436981
9.5,0.4739525020122528
9.5625,0.4634896218776703
9.625,0.4763607382774353
9.6875,0.4930705726146698
9.75,0.46337461471557617
9.8125,0.5166540145874023
9.875,0.48352646827697754
9.9375,0.4863787293434143
