epochs,losses
0.0,1.0502276420593262
0.0625,1.0145149230957031
0.125,0.9809203147888184
0.1875,0.9567902088165283
0.25,0.9375057220458984
0.3125,0.904202938079834
0.375,0.8673455119132996
0.4375,0.8568493127822876
0.5,0.8297030925750732
0.5625,0.8259650468826294
0.625,0.7630796432495117
0.6875,0.7559437155723572
0.75,0.7207134962081909
0.8125,0.7200654745101929
0.875,0.683804988861084
0.9375,0.6782767176628113
1.0,0.6756545901298523
1.0625,0.6498792171478271
1.125,0.6125554442405701
1.1875,0.587192952632904
1.25,0.5724145770072937
1.3125,0.5589069128036499
1.375,0.5401163101196289
1.4375,0.5435847640037537
1.5,0.5376353859901428
1.5625,0.5082763433456421
1.625,0.44566577672958374
1.6875,0.4753953814506531
1.75,0.5002354383468628
1.8125,0.48095566034317017
1.875,0.4198882579803467
1.9375,0.4484013020992279
2.0,0.3933282792568207
2.0625,0.4541861414909363
2.125,0.4165284037590027
2.1875,0.3788725733757019
2.25,0.40107497572898865
2.3125,0.4324110448360443
2.375,0.4097859859466553
2.4375,0.36443448066711426
2.5,0.3310934007167816
2.5625,0.3878921866416931
2.625,0.3308919668197632
2.6875,0.4007096290588379
2.75,0.36219775676727295
2.8125,0.34958624839782715
2.875,0.34366297721862793
2.9375,0.3355930745601654
3.0,0.3061656057834625
3.0625,0.2803806662559509
3.125,0.2852194905281067
3.1875,0.29582974314689636
3.25,0.25660771131515503
3.3125,0.32460087537765503
3.375,0.2658274471759796
3.4375,0.27475279569625854
3.5,0.3121820390224457
3.5625,0.33689606189727783
3.625,0.30943095684051514
3.6875,0.31330156326293945
3.75,0.3129376769065857
3.8125,0.30439770221710205
3.875,0.3652118146419525
3.9375,0.2372007519006729
4.0,0.280078649520874
4.0625,0.3087214529514313
4.125,0.27159449458122253
4.1875,0.235462948679924
4.25,0.27260828018188477
4.3125,0.329730749130249
4.375,0.2605052590370178
4.4375,0.2540518641471863
4.5,0.2703292667865753
4.5625,0.23102697730064392
4.625,0.3030400276184082
4.6875,0.22763648629188538
4.75,0.3134007453918457
4.8125,0.2698061168193817
4.875,0.1728653907775879
4.9375,0.2934228479862213
5.0,0.21894687414169312
5.0625,0.2336297482252121
5.125,0.24978286027908325
5.1875,0.35622379183769226
5.25,0.20572328567504883
5.3125,0.23148784041404724
5.375,0.24746209383010864
5.4375,0.2614127993583679
5.5,0.27020424604415894
5.5625,0.24029505252838135
5.625,0.285950630903244
5.6875,0.2883690595626831
5.75,0.2743518352508545
5.8125,0.2407301664352417
5.875,0.2550326883792877
5.9375,0.2096724659204483
6.0,0.2842668294906616
6.0625,0.2974547743797302
6.125,0.2581607401371002
6.1875,0.22447387874126434
6.25,0.22924277186393738
6.3125,0.23237422108650208
6.375,0.24538175761699677
6.4375,0.2608156204223633
6.5,0.2398516833782196
6.5625,0.23568913340568542
6.625,0.2086620032787323
6.6875,0.22839471697807312
6.75,0.17890791594982147
6.8125,0.25100308656692505
6.875,0.2495644986629486
6.9375,0.18030855059623718
7.0,0.21454468369483948
7.0625,0.26520031690597534
7.125,0.21663299202919006
7.1875,0.21326468884944916
7.25,0.29048335552215576
7.3125,0.21673470735549927
7.375,0.2776604890823364
7.4375,0.23222748935222626
7.5,0.26773402094841003
7.5625,0.27818119525909424
7.625,0.23105370998382568
7.6875,0.2278793454170227
7.75,0.24165722727775574
7.8125,0.1847776621580124
7.875,0.2538447976112366
7.9375,0.17758798599243164
8.0,0.23758147656917572
8.0625,0.2631985545158386
8.125,0.2338307499885559
8.1875,0.27296507358551025
8.25,0.2500600516796112
8.3125,0.20082998275756836
8.375,0.2343975305557251
8.4375,0.27255600690841675
8.5,0.24654671549797058
8.5625,0.24165332317352295
8.625,0.2830192446708679
8.6875,0.2442534863948822
8.75,0.23948651552200317
8.8125,0.2399987429380417
8.875,0.24087581038475037
8.9375,0.17497529089450836
9.0,0.2708286643028259
9.0625,0.20941472053527832
9.125,0.231305330991745
9.1875,0.2337876260280609
9.25,0.24747821688652039
9.3125,0.25555330514907837
9.375,0.23808884620666504
9.4375,0.23520871996879578
9.5,0.18128761649131775
9.5625,0.2774350643157959
9.625,0.2694050967693329
9.6875,0.2314860075712204
9.75,0.24039167165756226
9.8125,0.1650056391954422
9.875,0.22687262296676636
9.9375,0.19393117725849152
