epochs,losses
0.0,1.9077754020690918
0.0625,1.5690035820007324
0.125,1.1495298147201538
0.1875,1.006924033164978
0.25,0.7935765981674194
0.3125,0.8209700584411621
0.375,0.6466047763824463
0.4375,0.5221635103225708
0.5,0.5957759618759155
0.5625,0.4637307822704315
0.625,0.46921107172966003
0.6875,0.3854939639568329
0.75,0.3539305329322815
0.8125,0.351044237613678
0.875,0.3254609704017639
0.9375,0.3555929958820343
1.0,0.3595411777496338
1.0625,0.3309763967990875
1.125,0.32573530077934265
1.1875,0.2968509793281555
1.25,0.25386279821395874
1.3125,0.33581823110580444
1.375,0.24983850121498108
1.4375,0.3033435344696045
1.5,0.2284698784351349
1.5625,0.2687675356864929
1.625,0.26224738359451294
1.6875,0.2367851436138153
1.75,0.29811280965805054
1.8125,0.24654732644557953
1.875,0.20886020362377167
1.9375,0.2757265567779541
2.0,0.1793300360441208
2.0625,0.2593082785606384
2.125,0.258799284696579
2.1875,0.2454732060432434
2.25,0.2097892016172409
2.3125,0.22808293998241425
2.375,0.23193620145320892
2.4375,0.2076021134853363
2.5,0.18963877856731415
2.5625,0.19457197189331055
2.625,0.23804670572280884
2.6875,0.20266222953796387
2.75,0.25319796800613403
2.8125,0.24591617286205292
2.875,0.18609163165092468
2.9375,0.17335546016693115
3.0,0.2114284336566925
3.0625,0.19478678703308105
3.125,0.207747220993042
3.1875,0.23133370280265808
3.25,0.28170356154441833
3.3125,0.18721431493759155
3.375,0.2238823026418686
3.4375,0.2212800234556198
3.5,0.2087157666683197
3.5625,0.1869269609451294
3.625,0.18040889501571655
3.6875,0.1880529522895813
3.75,0.24617934226989746
3.8125,0.20407968759536743
3.875,0.217187762260437
3.9375,0.1632378250360489
4.0,0.24906563758850098
4.0625,0.2220764011144638
4.125,0.22294926643371582
4.1875,0.21352800726890564
4.25,0.16687636077404022
4.3125,0.20281171798706055
4.375,0.15958106517791748
4.4375,0.1909172534942627
4.5,0.1555483639240265
4.5625,0.20978228747844696
4.625,0.15147627890110016
4.6875,0.18471454083919525
4.75,0.19669365882873535
4.8125,0.225721538066864
4.875,0.1341859996318817
4.9375,0.20466381311416626
5.0,0.15745168924331665
5.0625,0.1905447244644165
5.125,0.17870187759399414
5.1875,0.14162743091583252
5.25,0.1477125585079193
5.3125,0.15399578213691711
5.375,0.16987328231334686
5.4375,0.2052549421787262
5.5,0.18298475444316864
5.5625,0.1337604820728302
5.625,0.18703588843345642
5.6875,0.18458323180675507
5.75,0.13759715855121613
5.8125,0.18488430976867676
5.875,0.21349571645259857
5.9375,0.2230597883462906
6.0,0.18829652667045593
6.0625,0.17940399050712585
6.125,0.18451446294784546
6.1875,0.1911073923110962
6.25,0.15591394901275635
6.3125,0.15095636248588562
6.375,0.20197832584381104
6.4375,0.17374324798583984
6.5,0.1330564022064209
6.5625,0.15931633114814758
6.625,0.17215284705162048
6.6875,0.1551283895969391
6.75,0.18291495740413666
6.8125,0.15621763467788696
6.875,0.12806040048599243
6.9375,0.1630360186100006
7.0,0.15645310282707214
7.0625,0.23345689475536346
7.125,0.13353991508483887
7.1875,0.16832545399665833
7.25,0.13946092128753662
7.3125,0.16248741745948792
7.375,0.16073960065841675
7.4375,0.14238455891609192
7.5,0.19414472579956055
7.5625,0.1484684944152832
7.625,0.14466097950935364
7.6875,0.16066424548625946
7.75,0.16577206552028656
7.8125,0.18584522604942322
7.875,0.13150620460510254
7.9375,0.12886910140514374
8.0,0.16861729323863983
8.0625,0.1913301944732666
8.125,0.14243334531784058
8.1875,0.20663058757781982
8.25,0.12129070609807968
8.3125,0.11749427020549774
8.375,0.13697156310081482
8.4375,0.16960927844047546
8.5,0.15089599788188934
8.5625,0.11367746442556381
8.625,0.13342681527137756
8.6875,0.1383507251739502
8.75,0.14205984771251678
8.8125,0.17334577441215515
8.875,0.14202222228050232
8.9375,0.1176675409078598
9.0,0.1652650237083435
9.0625,0.20248828828334808
9.125,0.1450577825307846
9.1875,0.15773829817771912
9.25,0.1743088811635971
9.3125,0.12337477505207062
9.375,0.20816978812217712
9.4375,0.14255893230438232
9.5,0.174078106880188
9.5625,0.14027445018291473
9.625,0.15113890171051025
9.6875,0.16940590739250183
9.75,0.1683015674352646
9.8125,0.16159963607788086
9.875,0.16267162561416626
9.9375,0.1611601710319519
